Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
97.0000000000,1.0633560410,18.2387755100,0.0000000000,382.3801780000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
98.0000000000,0.8938885960,18.2387755100,0.0000000000,573.6481642000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
99.0000000000,0.7963277550,17.2061224500,0.0000000000,352.2124467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
100.0000000000,0.7902164630,17.3000000000,0.0000000000,412.5479093000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
101.0000000000,0.8919321030,17.3938775500,0.0000000000,573.6481642000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
102.0000000000,1.2168417980,18.8959183700,0.0000000000,864.3989433000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
103.0000000000,1.7444353500,18.8959183700,0.0000000000,1279.6932300000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
104.0000000000,2.2529256190,20.4918367300,0.0000000000,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
105.0000000000,2.5689761390,20.3979591800,5.3267543810,1335.1586340000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
106.0000000000,2.6855523310,20.9612244900,13.3168859500,733.7715276000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
107.0000000000,2.7536998320,20.8673469400,21.3070175200,1017.0449920000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
108.0000000000,2.8347074250,20.3979591800,26.6337719000,733.7715276000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
109.0000000000,2.8502274680,20.3979591800,23.9703947100,573.6481642000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
110.0000000000,2.7933352970,20.4918367300,15.9802631400,442.7156407000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
111.0000000000,2.7195821150,20.1163265300,10.6535087600,533.6173233000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
112.0000000000,2.6620524350,19.3653061200,2.6633771900,382.3801780000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
113.0000000000,2.7197799630,21.2428571400,0.0000000000,216.6411879000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
114.0000000000,3.0348192620,21.2428571400,0.0000000000,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
115.0000000000,3.0088572630,20.9612244900,0.0000000000,216.6411879000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
116.0000000000,2.8679238360,20.3979591800,0.0000000000,237.6585173000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
117.0000000000,2.5013562320,20.3979591800,0.0000000000,148.0721909000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
118.0000000000,2.2618727260,19.9285714300,0.0000000000,82.3036771400,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
119.0000000000,2.1449667880,18.2387755100,0.0000000000,57.7394176700,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
120.0000000000,1.7799599830,16.1734693900,0.0000000000,57.7394176700,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
121.0000000000,1.4980711450,16.1734693900,0.0000000000,134.9184882000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
122.0000000000,1.3004873590,16.0795918400,0.0000000000,258.6758467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
123.0000000000,1.2076089110,15.9857142900,0.0000000000,74.0385710900,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
124.0000000000,1.2132145930,16.0795918400,0.0000000000,3.0363092240,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
125.0000000000,1.2606980120,16.4551020400,0.0000000000,2.5760261680,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
126.0000000000,1.3912774160,19.4591836700,0.0000000000,3.0363092240,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
127.0000000000,1.7599114280,20.1163265300,0.0000000000,15.6181118600,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
